,State,School District,Year,Enrollment,Total Revenues,Total Expenditures,Expenditures per Pupil
0,Alabama,Autauga County School District,2016,9609.0,80867000,76672000,7979.18617962327
1,Alabama,Baldwin County School District,2016,30931.0,338236000,299880000,9695.127865248456
2,Alabama,Barbour County School District,2016,912.0,10116000,10070000,11041.666666666666
3,Alabama,Eufaula City School District,2016,2842.0,26182000,29843000,10500.703729767769
4,Alabama,Bibb County School District,2016,3322.0,32486000,31662000,9531.005418422637
5,Alabama,Blount County School District,2016,7870.0,69966000,68297000,8678.144853875476
6,Alabama,Oneonta City School District,2016,1477.0,13464000,12726000,8616.11374407583
7,Alabama,Bullock County School District,2016,1505.0,14876000,14713000,9776.079734219269
8,Alabama,Butler County School District,2016,3135.0,32062000,31393000,10013.71610845295
9,Alabama,Anniston City School District,2016,2099.0,23776000,24320000,11586.46974749881
10,Alabama,Calhoun County School District,2016,9054.0,86559000,93475000,10324.166114424565
11,Alabama,Jacksonville City School District,2016,1544.0,14925000,22806000,14770.725388601037
12,Alabama,Piedmont City School District,2016,1247.0,11695000,11355000,9105.854049719326
13,Alabama,Oxford City School District,2016,4171.0,43617000,41504000,9950.611364181252
14,Alabama,Chambers County School District,2016,3729.0,35550000,35428000,9500.670421024402
15,Alabama,Lanett City School District,2016,863.0,9413000,9419000,10914.25260718424
16,Alabama,Cherokee County School District,2016,4042.0,40647000,41646000,10303.315190499752
17,Alabama,Chilton County School District,2016,7743.0,66020000,66004000,8524.344569288389
18,Alabama,Choctaw County School District,2016,1495.0,17426000,15660000,10474.916387959865
19,Alabama,Clarke County School District,2016,2717.0,28164000,28934000,10649.245491350755
20,Alabama,Thomasville City School District,2016,1339.0,13572000,15018000,11215.832710978342
21,Alabama,Clay County School District,2016,1978.0,18425000,17663000,8929.726996966632
22,Alabama,Cleburne County School District,2016,2631.0,25205000,25478000,9683.770429494489
23,Alabama,Coffee County School District,2016,2081.0,20354000,20509000,9855.358000961076
24,Alabama,Elba City School District,2016,615.0,7152000,7238000,11769.105691056911
25,Alabama,Enterprise City School District,2016,6823.0,61888000,65966000,9668.18115198593
26,Alabama,Colbert County School District,2016,2638.0,31196000,30748000,11655.799848369978
27,Alabama,Sheffield City School District,2016,1059.0,13779000,13310000,12568.460812086874
28,Alabama,Tuscumbia City School District,2016,1527.0,15100000,16985000,11123.117223313688
29,Alabama,Muscle Shoals City School District,2016,2907.0,29431000,28870000,9931.200550395597
30,Alabama,Conecuh County School District,2016,1525.0,21921000,19915000,13059.016393442624
31,Alabama,Coosa County School District,2016,1003.0,10642000,10517000,10485.543369890329
32,Alabama,Andalusia City School District,2016,1745.0,18650000,15978000,9156.446991404011
33,Alabama,Covington County School District,2016,3178.0,31073000,29870000,9398.993077407174
34,Alabama,Opp City School District,2016,1357.0,13595000,13643000,10053.79513633014
35,Alabama,Crenshaw County School District,2016,2239.0,21294000,21222000,9478.338543992853
36,Alabama,Cullman City School District,2016,3130.0,30963000,30044000,9598.722044728434
37,Alabama,Cullman County School District,2016,9573.0,94578000,93836000,9802.151885511334
38,Alabama,Dale County School District,2016,3079.0,29011000,27492000,8928.873010717765
39,Alabama,Ozark City School District,2016,2131.0,23012000,23479000,11017.832003754105
40,Alabama,Daleville City School District,2016,1078.0,10999000,10652000,9881.26159554731
41,Alabama,Dallas County School District,2016,3243.0,36746000,35428000,10924.45266728338
42,Alabama,Selma City School District,2016,3798.0,35241000,39712000,10456.029489204844
43,Alabama,De Kalb County School District,2016,9015.0,84601000,83676000,9281.863560732114
44,Alabama,Fort Payne City School District,2016,3205.0,28952000,28145000,8781.591263650545
45,Alabama,Elmore County School District,2016,11232.0,98521000,96876000,8625.0
46,Alabama,Tallassee City School District,2016,1854.0,17726000,17696000,9544.768069039914
47,Alabama,Brewton City School District,2016,1158.0,11443000,26652000,23015.544041450776
48,Alabama,Escambia County School District,2016,4479.0,45791000,48595000,10849.51998213887
49,Alabama,Attalla City School District,2016,1638.0,16009000,17120000,10451.770451770451
50,Alabama,Etowah County Board Of Education,2016,8802.0,79322000,79601000,9043.512837991366
51,Alabama,Gadsden City School District,2016,5226.0,53345000,52913000,10124.952162265596
52,Alabama,Fayette County School District,2016,2403.0,22528000,21990000,9151.061173533084
53,Alabama,Franklin County School District,2016,3388.0,33368000,34380000,10147.579693034239
54,Alabama,Russellville City Schools,2016,2743.0,26359000,27093000,9877.141815530442
55,Alabama,Geneva County School District,2016,2742.0,26402000,25792000,9406.272793581327
56,Alabama,Geneva City School District,2016,1275.0,13016000,11983000,9398.43137254902
57,Alabama,Greene County School District,2016,1173.0,14695000,14897000,12699.9147485081
58,Alabama,Hale County School District,2016,2687.0,28497000,27221000,10130.628954224041
59,Alabama,Henry County School District,2016,2540.0,24166000,24025000,9458.661417322835
60,Alabama,Dothan City School District,2016,9336.0,88129000,85409000,9148.350471293916
61,Alabama,Houston County School District,2016,6343.0,55122000,55759000,8790.635346050765
62,Alabama,Jackson County School District,2016,5528.0,58256000,58329000,10551.555716353112
63,Alabama,Scottsboro City School District,2016,2536.0,27634000,26990000,10642.744479495268
64,Alabama,Bessemer City School District,2016,3740.0,41288000,42030000,11237.967914438503
65,Alabama,Birmingham City School District,2016,24693.0,273626000,272202000,11023.447940711943
66,Alabama,Fairfield City School District,2016,1782.0,18479000,18371000,10309.203142536477
67,Alabama,Jefferson County Board Of Education,2016,36092.0,344274000,338349000,9374.625955890502
68,Alabama,Tarrant City School District,2016,1174.0,12580000,12468000,10620.102214650766
69,Alabama,Leeds City School District,2016,1905.0,27699000,32285000,16947.50656167979
70,Alabama,Trussville City School District,2016,4456.0,47842000,65049000,14598.070017953321
71,Alabama,Hoover City School District,2016,13910.0,168040000,165436000,11893.314162473042
72,Alabama,Mountain Brook Schools,2016,4371.0,61403000,59779000,13676.275451841684
73,Alabama,Homewood City School District,2016,4069.0,52340000,47726000,11729.171786679774
74,Alabama,Midfield City School District,2016,1134.0,11987000,12501000,11023.809523809523
75,Alabama,Vestavia Hills City School District,2016,7015.0,78089000,88933000,12677.548111190306
76,Alabama,Lamar County School District,2016,2351.0,22275000,23060000,9808.59208847299
77,Alabama,Florence City School District,2016,4519.0,55334000,52958000,11718.964372648816
78,Alabama,Lauderdale County School District,2016,8445.0,76888000,76362000,9042.273534635879
79,Alabama,Lawrence County School District,2016,4841.0,51703000,53773000,11107.828960958479
80,Alabama,Lee County School District,2016,9771.0,95695000,94539000,9675.468222290452
81,Alabama,Opelika City Schools,2016,4240.0,47847000,47136000,11116.981132075472
82,Alabama,Auburn City School District,2016,8310.0,134959000,131695000,15847.77376654633
83,Alabama,Athens City School District,2016,3933.0,40524000,40785000,10369.946605644545
84,Alabama,Limestone County School District,2016,8789.0,88553000,106503000,12117.7608374104
85,Alabama,Lowndes County School District,2016,1562.0,21642000,21098000,13507.042253521127
86,Alabama,Macon County School District,2016,2134.0,23758000,26578000,12454.545454545454
87,Alabama,Huntsville City School District,2016,23827.0,267800000,410031000,17208.670835606667
88,Alabama,Madison County School District,2016,19452.0,187046000,185652000,9544.108574953732
89,Alabama,Madison City School District,2016,10011.0,105927000,101154000,10104.285286185197
90,Alabama,Demopolis City School District,2016,2289.0,19779000,19572000,8550.45871559633
91,Alabama,Marengo County School District,2016,1090.0,11585000,11678000,10713.761467889908
92,Alabama,Linden City School District,2016,518.0,5672000,5448000,10517.374517374517
93,Alabama,Marion County School District,2016,3405.0,31887000,31060000,9121.879588839942
94,Alabama,Winfield City School District,2016,1266.0,12965000,13028000,10290.679304897314
95,Alabama,Marshall County School District,2016,5635.0,56422000,64739000,11488.731144631765
96,Alabama,Boaz City School District,2016,2310.0,22813000,22413000,9702.597402597403
97,Alabama,Albertville City School District,2016,5214.0,49795000,46778000,8971.614883007289
98,Alabama,Arab City School District,2016,2540.0,23606000,26202000,10315.748031496063
99,Alabama,Guntersville City School District,2016,1999.0,20195000,19412000,9710.855427713857
100,Alabama,Mobile County School District,2016,57581.0,564939000,606882000,10539.622444903702
101,Alabama,Saraland City Schools,2016,2953.0,28801000,37818000,12806.637317981713
102,Alabama,Chickasaw City Schools,2016,1032.0,9219000,9386000,9094.961240310078
103,Alabama,Satsuma City School District,2016,1308.0,13229000,18106000,13842.507645259939
104,Alabama,Monroe County School District,2016,3600.0,33410000,33507000,9307.5
105,Alabama,Montgomery County School District,2016,30667.0,301121000,296474000,9667.525352985294
106,Alabama,Pike Road School District,2016,1125.0,9473000,8943000,7949.333333333333
107,Alabama,Decatur City School District,2016,8693.0,99476000,109323000,12575.980674105602
108,Alabama,Morgan County School District,2016,7757.0,78919000,81220000,10470.542735593657
109,Alabama,Hartselle City School District,2016,3068.0,30401000,29601000,9648.305084745763
110,Alabama,Perry County School District,2016,1525.0,16271000,15450000,10131.147540983606
111,Alabama,Pickens County School District,2016,2633.0,26826000,27921000,10604.25370300038
112,Alabama,Pike County School District,2016,2189.0,23840000,23530000,10749.200548195524
113,Alabama,Troy City School District,2016,1981.0,20582000,19199000,9691.569914184754
114,Alabama,Randolph County School District,2016,2228.0,21531000,23702000,10638.240574506284
115,Alabama,Roanoke City School District,2016,1542.0,13567000,13381000,8677.691309987029
116,Alabama,Phenix City School District,2016,7043.0,66280000,68862000,9777.367599034502
117,Alabama,Russell County School District,2016,3598.0,33852000,32367000,8995.831017231796
118,Alabama,St Clair County School District,2016,9056.0,80428000,80152000,8850.706713780919
119,Alabama,Pell City School District,2016,4023.0,37455000,36396000,9046.979865771813
120,Alabama,Shelby County School District,2016,20064.0,207108000,204630000,10198.863636363636
121,Alabama,Sumter County School District,2016,1593.0,19254000,19797000,12427.49529190207
122,Alabama,Sylacauga City School District,2016,2256.0,22318000,30634000,13578.900709219859
123,Alabama,Talladega City School District,2016,2051.0,21934000,22472000,10956.606533398342
124,Alabama,Talladega County School District,2016,7777.0,77788000,76784000,9873.215893017874
125,Alabama,Tallapoosa County School District,2016,2894.0,29725000,26794000,9258.465791292329
126,Alabama,Alexander City School District,2016,3102.0,32454000,29642000,9555.770470664087
127,Alabama,Tuscaloosa City School District,2016,10418.0,126506000,125943000,12088.980610481858
128,Alabama,Tuscaloosa County School District,2016,18352.0,180014000,172552000,9402.353966870096
129,Alabama,Jasper City School District,2016,2746.0,27747000,29622000,10787.327021121631
130,Alabama,Walker County School District,2016,7827.0,77323000,76823000,9815.127124057748
131,Alabama,Washington County School District,2016,2936.0,28275000,28507000,9709.468664850136
132,Alabama,Wilcox County School District,2016,1795.0,19633000,19943000,11110.306406685237
133,Alabama,Winston County School District,2016,2449.0,26086000,25019000,10216.006533278889
134,Alabama,Haleyville City School District,2016,1711.0,16709000,16158000,9443.600233781415
135,Alaska,Mount Edgecumbe High School Agency,2016,426.0,12154000,12112000,28431.924882629108
136,Alaska,Alaska Gateway Regional Educational Attendance Area (Reaa),2016,378.0,11433000,12381000,32753.968253968254
137,Alaska,Aleutian Region School District,2016,35.0,1493000,1804000,51542.857142857145
138,Alaska,Kuspuk Regional Educational Attendance Area (Reaa),2016,410.0,14354000,14494000,35351.21951219512
139,Alaska,Yupiit Schools,2016,461.0,12348000,15309000,33208.24295010846
